Box,Number,Species,Site,Day Ramp,Season,Month Collected,DNA extracted,Color of writing,Notes
A,0,A. hyacinthus,Faga'alu,1,March,3/26/14,9/18/18,Red,"Box says 1 day ramp, DMSO"
A,1,A. hyacinthus,Faga'alu,1,March,3/26/14,9/18/18,Red,"Box says 1 day ramp, DMSO"
A,2,A. hyacinthus,Faga'alu,1,March,3/26/14,9/18/18,Red,"Box says 1 day ramp, DMSO"
A,3,A. hyacinthus,Faga'alu,1,March,3/26/14,9/18/18,Red,"Box says 1 day ramp, DMSO"
A,4,A. hyacinthus,Faga'alu,1,March,3/26/14,9/18/18,Red,"Box says 1 day ramp, DMSO"
A,5,A. hyacinthus,Faga'alu,1,March,3/26/14,9/26/18,Red,"Box says 1 day ramp, DMSO"
A,6,A. hyacinthus,Faga'alu,1,March,3/26/14,9/26/18,Red,"Box says 1 day ramp, DMSO"
A,7,A. hyacinthus,Faga'alu,1,March,3/26/14,9/26/18,Red,"Box says 1 day ramp, DMSO"
A,8,A. hyacinthus,Faga'alu,1,March,3/26/14,9/26/18,Red,"Box says 1 day ramp, DMSO"
A,9,A. hyacinthus,Faga'alu,1,March,3/26/14,9/26/18,Red,"Box says 1 day ramp, DMSO"
B,10,A. hyacinthus,Faga'alu,3,March,3/26/14,9/26/18,Red,
MISSING,11,A. hyacinthus,Faga'alu,3,March,3/26/14,,,Sample missing
B,12,A. hyacinthus,Faga'alu,3,March,3/26/14,9/26/18,Red,
B,13,A. hyacinthus,Faga'alu,3,March,3/26/14,9/26/18,Red,
B,14,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,15,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,16,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,17,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,18,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,19,A. hyacinthus,Faga'alu,3,March,3/26/14,10/02/18,Red,
B,20,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,21,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,22,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,23,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,24,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,25,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,26,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
MISSING,27,A. hyacinthus,Faga'itua,3,March,3/26/14,,,Sample missing
B,28,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,29,A. hyacinthus,Faga'itua,3,March,3/26/14,10/02/18,Red,
B,30,A. hyacinthus,Faga'tele,3,March,03/27/14,10/02/18,Red,
B,31,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,32,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,33,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,34,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,35,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,36,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
MISSING,37,A. hyacinthus,Faga'tele,3,March,03/27/14,,,Sample missing
B,38,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,39,A. hyacinthus,Faga'tele,3,March,03/27/14,10/09/18,Red,
B,40,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,sample says cannery but data sheet says tele
B,41,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,42,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,43,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,44,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,45,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,46,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,47,A. hyacinthus,Cannery,3,March,03/27/14,10/09/18,Red,
B,48,A. hyacinthus,Cannery,3,March,03/27/14,10/16/18,Red,
B,49,A. hyacinthus,Cannery,3,March,03/27/14,10/16/18,Red,
C,50,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,51,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,52,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,53,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,54,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,55,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,56,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,57,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
C,58,A. hyacinthus,Faga'itua,3,July,7/6/14,10/16/18,,
