Plate,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
1,A1,Neg.Con,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A1,Neg.Con,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A2,AH10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A2,AH10,D,UNKNOWN,FAM,NFQ-MGB,31.52614403,31.54703903,0.029549999,,,,FALSE,0.02,TRUE,3,30,,N,N,Y
1,A3,AH10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A3,AH10,D,UNKNOWN,FAM,NFQ-MGB,31.56793404,31.54703903,0.029549999,,,,FALSE,0.02,TRUE,3,29,,N,N,Y
1,A4,Neg.Con,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A4,Neg.Con,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A5,Neg.Con,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A5,Neg.Con,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A6,AH12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A6,AH12,D,UNKNOWN,FAM,NFQ-MGB,27.82822227,27.91129684,0.117483832,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,A7,AH12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A7,AH12,D,UNKNOWN,FAM,NFQ-MGB,27.99436951,27.91129684,0.117483832,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,A8,AH13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A8,AH13,D,UNKNOWN,FAM,NFQ-MGB,28.35918617,28.40158081,0.05995642,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,A9,AH13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A9,AH13,D,UNKNOWN,FAM,NFQ-MGB,28.44397736,28.40158081,0.05995642,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,A10,AH14,C,UNKNOWN,VIC,NFQ-MGB,39.32761002,39.32761002,,,,,FALSE,0.02,TRUE,3,37,,N,N,Y
1,A10,AH14,D,UNKNOWN,FAM,NFQ-MGB,25.91285515,25.70926857,0.287914902,,,,FALSE,0.02,TRUE,3,24,,N,N,Y
1,A11,AH14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.32761002,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,A11,AH14,D,UNKNOWN,FAM,NFQ-MGB,25.50568199,25.70926857,0.287914902,,,,FALSE,0.02,TRUE,3,23,,N,N,Y
1,A12,Neg.Con,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,A12,Neg.Con,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,B1,AH15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B1,AH15,D,UNKNOWN,FAM,NFQ-MGB,30.6754055,30.60782242,0.095576912,,,,FALSE,0.02,TRUE,3,29,,N,N,Y
1,B2,AH15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B2,AH15,D,UNKNOWN,FAM,NFQ-MGB,30.54023933,30.60782242,0.095576912,,,,FALSE,0.02,TRUE,3,29,,N,N,Y
1,B3,AH16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,B3,AH16,D,UNKNOWN,FAM,NFQ-MGB,29.41943741,29.35998535,0.084076554,,,,FALSE,0.02,TRUE,3,27,,N,N,Y
