"Number","Site","Season","FAM_mean","VIC_mean","cellnum_C","cellnum_D","D_prop","C_prop","CDratio_log"
10,"Faga'alu","March",31.547039035,NA,0,350.424774580046,1,0,-20
12,"Faga'alu","March",27.91129589,NA,0,4355.74599343886,1,0,-20
13,"Faga'alu","March",28.401581765,NA,0,3100.78597464466,1,0,-20
14,"Faga'alu","March",25.70926857,39.32761002,0.177078992887941,20041.8967484039,0.999991164637232,8.83536276799265e-06,-11.6367395573064
15,"Faga'alu","March",30.607822415,NA,0,671.93486743172,1,0,-20
16,"Faga'alu","March",29.359986305,NA,0,1595.74420691507,1,0,-20
17,"Faga'alu","March",30.51726532,36.49822235,1.25862861534946,715.463659564233,0.998243910317696,0.00175608968230397,-6.3429080797309
18,"Faga'alu","March",33.446086885,NA,0,93.955982122008,1,0,-20
19,"Faga'alu","March",30.45510578,NA,0,746.963646040357,1,0,-20
20,"Faga'itua","March",27.641552925,NA,0,5251.25695083196,1,0,-20
21,"Faga'itua","March",29.35451794,36.39110565,1.3556355247148,1601.80416420631,0.999154397755643,0.000845602244356578,-7.07461550928548
22,"Faga'itua","March",26.923404695,NA,0,8638.68081752633,1,0,-20
23,"Faga'itua","March",27.658724785,NA,0,5189.12370943396,1,0,-20
24,"Faga'itua","March",26.324048995,30.568601605,76.7169464759125,13087.9453151674,0.99417250933209,0.00582749066790992,-5.13932425169608
25,"Faga'itua","March",26.707338335,39.14448929,0.201044351555063,10034.3647444138,0.999979964818031,2.00351819687256e-05,-10.8180006959929
26,"Faga'itua","March",30.338479045,NA,0,809.855640257765,1,0,-20
28,"Faga'itua","March",38.734272,25.63056469,2351.73584997848,2.40448512297219,0.00102138563581792,0.998978614364182,6.88557319947302
29,"Faga'itua","March",26.921322825,NA,0,8651.15579833968,1,0,-20
30,"Faga'tele","March",39.60113525,26.36063671,1417.79996928929,1.31847000456646,0.000929076790251927,0.999070923209748,6.98038965487285
31,"Faga'tele","March",26.88527584,28.791947365,262.855777221569,8870.03548026409,0.971218777295074,0.0287812227049263,-3.5188285691439
32,"Faga'tele","March",27.61422825,NA,0,5351.66372173102,1,0,-20
33,"Faga'tele","March",NA,26.525966645,1264.2870601262,NA,NA,NA,NA
34,"Faga'tele","March",30.79791069,24.93575859,3806.67690180885,588.985909424789,0.133992513693172,0.866007486306828,1.86610962279234
35,"Faga'tele","March",30.174813275,26.510901455,1277.5584154675,907.143341627421,0.415225253827635,0.584774746172365,0.342405570517036
36,"Faga'tele","March",NA,25.677371025,2276.66131877039,NA,NA,NA,NA
38,"Faga'tele","March",27.582333565,NA,0,5471.29426285971,1,0,-20
39,"Faga'tele","March",NA,29.78965664,131.636736832493,NA,NA,NA,NA
40,"Cannery","March",26.85330772,39.454847335,0.162130527215748,9068.77694274037,0.999982122437266,1.78775627342848e-05,-10.9319462321879
41,"Cannery","March",28.39629841,39.89712906,0.119323155342416,3112.16231329762,0.999961660553484,3.8339446515646e-05,-10.1689929164811
42,"Cannery","March",28.637669565,NA,0,2632.7055051897,1,0,-20
43,"Cannery","March",28.22428131,NA,0,3506.26346321782,1,0,-20
44,"Cannery","March",26.540362355,NA,0,11265.60868832,1,0,-20
45,"Cannery","March",26.12941647,NA,0,14978.2715495785,1,0,-20
46,"Cannery","March",26.93400097,NA,0,8575.46406419681,1,0,-20
47,"Cannery","March",25.791867255,NA,0,18926.6668911243,1,0,-20
48,"Cannery","March",28.23394203,NA,0,3482.86290431015,1,0,-20
49,"Cannery","March",27.43048763,NA,0,6078.55365079802,1,0,-20
50,"Faga'itua","July",32.07872963,NA,0,242.404113374647,1,0,-20
51,"Faga'itua","July",29.94865036,39.2844162,0.1824608437249,1061.1034792557,0.999828075698706,0.000171924301294151,-8.66828434770007
52,"Faga'itua","July",33.77704239,32.4333992,21.063536837483,74.6959237304879,0.780037014488695,0.219962985511305,-1.26588208850915
53,"Faga'itua","July",30.746946335,NA,0,610.164174490205,1,0,-20
54,"Faga'itua","July",30.484612465,NA,0,731.841559542517,1,0,-20
55,"Faga'itua","July",31.73646641,38.665397645,0.280228841708109,307.306312078877,0.999088943095919,0.000911056904081055,-6.99999372717021
56,"Faga'itua","July",31.47588253,NA,0,368.141726760191,1,0,-20
57,"Faga'itua","July",NA,35.346651075,2.79611543752902,NA,NA,NA,NA
58,"Faga'itua","July",33.952093125,39.73065948,0.133917417639284,66.1608963404236,0.997979971432939,0.00202002856706113,-6.20262155398303
59,"Faga'itua","July",33.07003784,NA,0,121.934465526469,1,0,-20
60,"Faga'alu","July",35.57182312,NA,0,21.5285146538335,1,0,-20
61,"Faga'alu","July",32.912952425,39.83363342,0.124692066193241,135.960859307649,0.999083722960047,0.00091627703995333,-6.99427509657527
62,"Faga'alu","July",30.402413365,NA,0,774.749782730848,1,0,-20
63,"Faga'alu","July",34.991916655,NA,0,32.179797557278,1,0,-20
64,"Faga'alu","July",36.08246231,35.024219515,3.49636422922272,15.1111095419884,0.812098930128163,0.187901069871837,-1.46370656763409
65,"Faga'alu","July",33.245742795,34.42827225,5.28463103585733,107.952826325782,0.953331422667147,0.0466685773328533,-3.01689153499856
66,"Faga'alu","July",30.41818428,NA,0,766.326677655997,1,0,-20
67,"Faga'alu","July",32.26957321,NA,0,212.36861908117,1,0,-20
