Number,Site,Season,FAM_mean,VIC_mean,cellnum_C,cellnum_D,D_prop,C_prop,CDratio_log,LBSP
10,Faga'alu,March,31.54703904,NA,0,350.4247746,1,0,-20,Moderate
12,Faga'alu,March,27.91129589,NA,0,4355.745993,1,0,-20,Moderate
13,Faga'alu,March,28.40158177,NA,0,3100.785975,1,0,-20,Moderate
14,Faga'alu,March,25.70926857,39.32761002,0.177078993,20041.89675,0.999991165,8.84E-06,-11.63673956,Moderate
15,Faga'alu,March,30.60782242,NA,0,671.9348674,1,0,-20,Moderate
16,Faga'alu,March,29.35998631,NA,0,1595.744207,1,0,-20,Moderate
17,Faga'alu,March,30.51726532,36.49822235,1.258628615,715.4636596,0.99824391,0.00175609,-6.34290808,Moderate
18,Faga'alu,March,33.44608689,NA,0,93.95598212,1,0,-20,Moderate
19,Faga'alu,March,30.45510578,NA,0,746.963646,1,0,-20,Moderate
20,Faga'itua,March,27.64155293,NA,0,5251.256951,1,0,-20,Moderate
21,Faga'itua,March,29.35451794,36.39110565,1.355635525,1601.804164,0.999154398,0.000845602,-7.074615509,Moderate
22,Faga'itua,March,26.9234047,NA,0,8638.680818,1,0,-20,Moderate
23,Faga'itua,March,27.65872479,NA,0,5189.123709,1,0,-20,Moderate
24,Faga'itua,March,26.324049,30.56860161,76.71694648,13087.94532,0.994172509,0.005827491,-5.139324252,Moderate
25,Faga'itua,March,26.70733834,39.14448929,0.201044352,10034.36474,0.999979965,2.00E-05,-10.8180007,Moderate
26,Faga'itua,March,30.33847905,NA,0,809.8556403,1,0,-20,Moderate
28,Faga'itua,March,38.734272,25.63056469,2351.73585,2.404485123,0.001021386,0.998978614,6.885573199,Moderate
29,Faga'itua,March,26.92132283,NA,0,8651.155798,1,0,-20,Moderate
30,Faga'tele,March,39.60113525,26.36063671,1417.799969,1.318470005,0.000929077,0.999070923,6.980389655,Low
31,Faga'tele,March,26.88527584,28.79194737,262.8557772,8870.03548,0.971218777,0.028781223,-3.518828569,Low
32,Faga'tele,March,27.61422825,NA,0,5351.663722,1,0,-20,Low
33,Faga'tele,March,NA,26.52596665,1264.28706,NA,NA,NA,20,Low
34,Faga'tele,March,30.79791069,24.93575859,3806.676902,588.9859094,0.133992514,0.866007486,1.866109623,Low
35,Faga'tele,March,30.17481328,26.51090146,1277.558415,907.1433416,0.415225254,0.584774746,0.342405571,Low
36,Faga'tele,March,NA,25.67737103,2276.661319,NA,NA,NA,20,Low
38,Faga'tele,March,27.58233357,NA,0,5471.294263,1,0,-20,Low
39,Faga'tele,March,NA,29.78965664,131.6367368,NA,NA,NA,20,Low
40,Cannery,March,26.85330772,39.45484734,0.162130527,9068.776943,0.999982122,1.79E-05,-10.93194623,High
