Sample,FAM,VIC
CanII_F1,27.04127689,NaN
CanII_F1,27.34883525,NaN
CanII_F1,26.98701277,NaN
CanII_F2,25.8342627,NaN
CanII_F2,26.41350236,NaN
CanII_F2,26.10104139,NaN
CanII_F3,28.93549694,NaN
CanII_F3,28.72423389,NaN
CanII_F3,28.98010373,NaN
CanII_F4,26.25530269,NaN
CanII_F4,26.25361118,NaN
CanII_F4,26.29718833,NaN
CocoII_F1,28.61505461,NaN
CocoII_F1,28.5827304,NaN
CocoII_F1,28.85273856,NaN
CocoII_F2,28.1072255,NaN
CocoII_F2,27.88409186,NaN
CocoII_F2,28.15262492,NaN
CocoII_F3,24.04747289,NaN
CocoII_F3,23.64629044,NaN
CocoII_F3,23.97619573,NaN
CocoII_F4,24.28030484,NaN
CocoII_F4,24.16774968,NaN
CocoII_F4,23.28756196,NaN
Alu_F1,25.08543183,NaN
Alu_F1,25.24105286,NaN
Alu_F1,24.8999868,NaN
Alu_F2,27.31642066,37.76619495
Alu_F2,27.35893917,37.30290033
Alu_F2,27.7709042,NaN
Alu_F3,25.59757532,NaN
Alu_F3,26.10106072,NaN
Alu_F3,26.11190443,NaN
Alu_F4,23.76768556,NaN
Alu_F4,23.70977707,NaN
Alu_F4,NaN,NaN
Tele_F1,23.77399189,30.79151004
Tele_F1,23.7076819,30.44133736
Tele_F1,24.10058933,30.99671082
Tele_F2,27.8632728,22.47570765
Tele_F2,27.83299494,22.27848392
Tele_F2,27.8456923,22.41561833
Tele_F3,25.16948482,26.57804676
Tele_F3,25.0300086,26.23134657
Tele_F3,24.44348306,25.89300749
Tele_F4,26.33151233,37.55676867
Tele_F4,26.0389141,36.62711047
Tele_F4,26.54477138,39.03243817
Vat_F1,25.95065799,NaN
Vat_F1,26.0507562,NaN
Vat_F1,25.69500414,NaN
Vat_F2,27.14372207,NaN
Vat_F2,27.35573421,NaN
Vat_F2,27.29115377,NaN
Vat_F3,24.18802969,NaN
Vat_F3,24.39040757,NaN
Vat_F3,24.4345185,NaN
Vat_F4,26.50871248,NaN
Vat_F4,26.46014408,NaN
Vat_F4,26.39828779,NaN
