"","Sample","FAM","VIC"
"1","CanIIF6","27.1279578035871","NaN"
"2","CanIIF6","27.1217478506291","NaN"
"3","CanIIF6","26.8791469449505","NaN"
"4","TeleF6","25.3163554440795","36.5934778304034"
"5","TeleF6","25.0844400902874","35.2904385222156"
"6","TeleF6","25.0130147098956","35.1702878607674"
"7","VatiaF6","22.5353897501938","NaN"
"8","VatiaF6","22.2438509749067","NaN"
"9","VatiaF6","22.362270079778","35.4385421964065"
"10","CanIIF7","30.1582264938263","NaN"
"11","CanIIF7","30.101603762662","NaN"
"12","CanIIF7","30.034830073837","NaN"
"13","TeleF7","28.2521793363457","NaN"
"14","TeleF7","28.1648743310283","NaN"
"15","TeleF7","28.1644158285946","NaN"
"16","VatiaF7","26.1512606591759","NaN"
"17","VatiaF7","26.0602616725464","NaN"
"18","VatiaF7","25.5933567713868","NaN"
"19","CanIIF8","26.6993314659691","NaN"
"20","CanIIF8","26.4026214044687","NaN"
"21","CanIIF8","26.3484379745669","NaN"
"22","TeleF8","25.9225896791083","NaN"
"23","TeleF8","26.0123425955615","NaN"
"24","TeleF8","26.0624026009791","NaN"
"25","NegControl","NaN","NaN"
"26","NegControl","NaN","NaN"
"27","NegControl","NaN","NaN"
"28","CocoIIF5","26.3280372624684","NaN"
"29","CocoIIF5","26.2380799895086","NaN"
"30","CocoIIF5","26.5564467157574","NaN"
"31","AluF5","23.001386122663","NaN"
"32","AluF5","22.6763182927258","NaN"
"33","AluF5","22.8277086759886","NaN"
"34","CocoIIF6","23.4120714732544","NaN"
"35","CocoIIF6","23.1213887564299","NaN"
"36","CocoIIF6","22.9053805811294","NaN"
"37","AluF6","22.7000615155422","NaN"
"38","AluF6","22.6094103636577","NaN"
"39","AluF6","23.2878192464095","NaN"
"40","CocoIIF7","26.4505755505608","NaN"
"41","CocoIIF7","26.5298237577836","NaN"
"42","CocoIIF7","26.5513685149988","NaN"
"43","AluF7","25.0956149787487","NaN"
"44","AluF7","24.9152636995352","NaN"
"45","AluF7","24.7731324111945","NaN"
"46","CocoIIF8","26.1990691937507","NaN"
"47","CocoIIF8","26.2510120880096","NaN"
"48","CocoIIF8","26.3763207267168","NaN"
"49","AluF8","21.7616211293988","NaN"
"50","AluF8","21.7407290298128","NaN"
"51","AluF8","22.1095341560652","NaN"
"52","TeleF5","30.1241465260815","38.3661152372787"
"53","TeleF5","29.6385337113543","36.8613053505602"
"54","TeleF5","29.5001965767113","NaN"
"55","VatiaF5","25.3255745607096","30.3980829530507"
"56","VatiaF5","25.1748141691863","30.5117025404606"
"57","VatiaF5","25.0720273821824","30.526900783491"
