"","Sample","Starting Quantity (SQ)","FAM","VIC"
"1","AluF2","NaN","26.1472132219578","37.072342527122"
"2","AluF2","NaN","26.0642129751324","NaN"
"3","AluF2","NaN","25.9984350647492","35.105000778692"
"4","AluF4","NaN","22.3700745656553","NaN"
"5","AluF4","NaN","22.0364710787054","NaN"
"6","AluF4","NaN","22.2974372422934","38.0514938231576"
"7","TeleF5","NaN","29.7848652347529","34.6757517137687"
"8","TeleF5","NaN","29.4783173514883","36.3510308142257"
"9","TeleF5","NaN","30.1615937842757","36.0924266688351"
"10","VatiaF6","NaN","22.295499907981","NaN"
"11","VatiaF6","NaN","22.4647965510701","35.6915082966481"
"12","VatiaF6","NaN","22.0692915405995","35.323051653446"
"13","NC","NaN","NaN","NaN"
"14","NC","NaN","NaN","NaN"
"15","NC","NaN","NaN","NaN"
