"Sample","FAM","VIC"
"B31","25.3441043017313","26.451110767059"
"B31","25.0604425312287","26.4589603304877"
"B31","24.80634061589","26.2175184045313"
"B32","24.364894768773","33.5948629910279"
"B32","24.3028577872734","33.3948742270959"
"B32","24.4369181062002","33.1409514722153"
"B33","31.4803491060588","22.1332571734305"
"B33","33.1347263440213","22.4047580498385"
"B33","31.3884658117946","21.6472348757006"
"B34","29.260532147515","21.4400294584511"
"B34","29.2871047423935","21.5567685146483"
"B34","29.5011216949866","21.676310966469"
"B35","27.1371939546696","23.5291676667979"
"B35","27.0570046263452","23.6743680517315"
"B35","27.0026142094843","23.5674946317329"
"B36","31.1688471197923","22.2315535322028"
"B36","30.8284931685956","22.6095558941196"
"B36","31.1963583463682","22.4779436677836"
"B38","24.6147736047097","29.1222878505484"
"B38","24.3813793471448","28.7526336771025"
"B38","24.3225291699474","28.6962513852926"
"B39","30.5672658196346","22.9419625465386"
"B39","31.3883421243259","24.0682504981904"
"B39","30.4742213505581","23.2685359959045"
"B40","25.1861343644057","NaN"
"B40","24.759177325506","34.8810191144532"
"B40","24.7288509004767","36.9679128609527"
"B41","24.1505215781273","36.7020809429158"
"B41","24.3689389870467","NaN"
"B41","24.304834583057","36.0140790169266"
"B42","26.3467552322998","36.0394535231974"
"B42","26.1901353845273","NaN"
"B42","26.5730248899936","37.2567190499558"
"B43","23.0691350817802","37.5875801630643"
"B43","23.2066718792884","35.1738688190056"
"B43","23.3216506207448","36.1767845391242"
"neg con","NaN","NaN"
"neg con","NaN","NaN"
"neg con","NaN","NaN"
